English term,Chinese term
Soothe the liver and submerge yang,平肝潜阳
Stop wind and relieve convulsions,熄风解痉
Resolving phlegm methods,祛痰法
Disperse the lung and transform phlegm,宣肺化痰
Dry dampness and transform phlegm,燥湿化痰
Clear heat and transform phlegm,清热化痰
Moisten dryness and transform phlegm,润燥化痰
Warm and transform cold phlegm,温化寒痰
Remove wind and transform phlegm,祛风化痰
Regulate qi and transform phlegm,理气化痰
Dissipate cold and transform fluid retention,散寒化饮
Drain the lung and expel water retention,泻肺逐饮
Warm yang and transform water retention,温阳化饮
Transform phlegm and promote digestion,化痰消食
Eliminate phlegm and transform stasis,祛痰化瘀
Transform phlegm and dissipate nodules,化痰散结
Transform phlegm and resolve goitre,化痰消瘿
Eliminate phlegm and unblock bi-impediment,祛痰宣痹
"Clear heat,eliminate phlegm and transform stasis",清热祛痰化瘀
Eliminate phlegm and kill parasites,祛痰杀虫
"Eliminate phlegm, regulate qi and remove toxins",祛痰理气解毒
Orifice-opening methods,开窍法
Open the orifices and unblock   impediments,开窍通闭
Clear heat and open the  orifces,清热开窍
Calm the heart and  open the orifces,宁心开窍
Open the orifces with  aroma,芳香开窍
Dissipate cold and open  the orifces,散寒开窍
Drain dampness and  open the orifces,利湿开窍
Transform phlegm and  open the orifces,化痰开窍
"Eliminate phlegm,  transform dampness  and open the orifces",祛痰化湿开窍
"Remove wind,  eliminate phlegm and  open the orifces",搜风祛痰开窍
Eliminate heat and  open the orifces,祛热开窍
Resolve stones and  circulate qi,消石开闭
Remove toxins and  circulate qi,解毒开闭
Remove toxins and  disperse the lung,解毒开肺
Repelling parasites  methods,驱虫法
Repel roundworms and  kill parasites,驱蛔杀虫
Strengthen the spleen  and repel parasitic  worms,健脾驱虫
Kill parasitic worms and  alleviate malnutrition,杀虫消疳
Eliminate wind and kill  parasitic worms,祛风杀虫
Kill parasitic worms and  calm the mind,杀虫宁神
Mind-calming methods,安神法
Calm the mind with  heavy medicinal  minerals,重镇安神
Calm and settle the  mind,安神定志
Nourish the heart and  calm the mind,养心安神
Nourish blood and calm  the mind,养血安神
Beneft the kidney and  calm the mind,益肾宁神
Supplement qi and  calm the mind,益气安神
Nourish yin and calm  the mind,滋阴安神
Harmonize the middle  jiao and calm the mind,和中安神
Remove toxins and  calm the mind,解毒安神
Relieve stagnation and  calm the mind,解郁安神
Calm the mind and  relieve itch,安神止痒
Tranquillize and calm  the mind,镇惊安神
Digestion-promoting  methods,消导法
Promote digestion and  eliminate stagnation,消食导滞
Clear heat and  eliminate stagnation,清热导滞
Resolve stagnation and  transform indigestion,消痞化积
Soften hardness and  dissipate masses,软坚散结
Resolve stones and  promote bowel  movements,消石导滞
Securing and  astringent methods,固涩法
Secure the exterior and  stop sweating,固表止汗
Astringe the lung and  relieve cough,敛肺止咳
Astringe the lung and  alleviate panting/ tachypnoea,敛肺平喘
Astringe the intestine  and stop diarrhoea,涩肠止泻
Astringe essence and  stop seminal emissions,涩精止遗
Secure menses and stop bleeding,固经止血
Secure blood and stop  bleeding,固摄止血
Secure the Chong  meridian and stop  leucorrhoea,固冲止带
Reinforce the kidney  and secure the fetus,固肾安胎
Stop bleeding and secure the fetus,止血安胎
Tonify qi and astringe  the breast milk,固涩敛乳
Tonify qi and astringe  tears,固摄敛泪
Secure the bladder and  stop enuresis,固脬止遗
Tonify qi and facilitate  its securing function,补气固摄
Secure and astringe yin  fuids,固护阴液
Warm yang and prevent  qi exhaustion,温阳固脱
Lift and secure qi,升提固涩
Tonify the kidney to  facilitate its astringent  function,补肾固涩
Sore-/ulcer-resolving,治痈疡法
Remove toxins and  resolve sores/ulcers,解毒散痈
Remove toxins and resolve swelling,解毒消肿
Clear heat and drain the pus,清热排脓
Eliminate dead tissues  and regenerate new  tissues,祛腐生肌
Resolve abscesses and dissipate boils,消痈散疖
Dry dampness and astringe wound,燥湿敛疮
Clear and remove  residual toxins,清解余毒
Astringe sores/ulcers  and stop pain,敛疮止痛
Remove toxins with toxins,以毒攻毒
Draw out pus and toxin,提脓拔毒
Draw pus and eliminate  putridity,提脓祛腐
"Methods for eyes and  ear, nose and throat  problems",治五官法
Brighten the eyes,明目
Unblock the ears,通耳
Unblock the nose,通鼻
Clear the throat,利咽
Restore the voice,开音
Secure the teeth,固齿
Other treatment  methods,其他治法
Nourish yin fuids to  submerge yang,壮水制阳
Warm yang to dissipate  yin cold,益火消阴
Guide fre to its origin,引火归原
Harmonize the  Ying nutrients and  regenerate new tissues,和营生新
Disperse and unblock  the three jiao,宣通三焦
Coordinate the heart  and kidney,交通心肾
Clear the head and eyes,清利头目
Lubricate the orifces,滑利窍道
Open the chest and  sooth the diaphragm,宽胸利膈
Repair broken sinews  and bones,续筋接骨
Strengthen the sinews  and bones,强筋壮骨
Disperse nodules/ masses,散结
Reinforce metal and  inhibit wood,佐金平木
Supplement fre to  cultivate earth,益火生土
Mutual generation  between metal and  water,金水相生
Cultivate earth to  restrain water,培土制水
Reduce the south to  reinforce the north,泻南补北
3.3 Chinese medicine  treatment,3.3 药物治疗类
The categories of  Chinese medicines,中药类
Chinese medicines,中药
Theory and practice of  Chinese medicines,中药学
Materia medica,本草
Folk medicines,草药
Raw Chinese medicines,中药材
Geo-authentic materia  medica,道地药材
Decoction-ready  medicines,饮片
Medicinal granules,配方颗粒
Processing of  medicines,炮制
Medicinal processing,修治
Cleaning,纯净处理
Crushing,粉碎处理
Cutting,切制处理
Water processing,水制
Moistening,润
Water-grinding,水飞
Flushing,漂
Fire processing,火制
Stir-frying,炒
Plain stir-frying,清炒
Adjuvants,辅料
Stir-fry with liquid  adjuvants,炙
Calcine,煅
Roast,煨
Processing with both  water and fre,水火共制
Boiling,煮
Steaming,蒸
Blanching,燀
Quenching,淬
Spoilage of Chinese  medicines,中药变质
Adverse reactions to  Chinese medicines,中药不良反应
Medicinal peculiarity,药物偏性
Properties of Chinese  medicines,中药性能
Characteristics of  Chinese medicines,中药性状
Four qi and and fve  favours,四气五味
Four qi,四气
Warm/heat-property  medicines,温热药
Cold/cool-property  medicines,寒凉药
Neutral-property  medicines,平性药
Pungent favour,辛味
Bitter favour,苦味
Sweet favour,甘味
Sour favour,酸味
Astringent favour,涩味
Salty favour,咸味
Bland favour,淡味
Pungent and sweet  transform into yang,辛甘化阳
Sour and sweet  transform into yin,酸甘化阴
Pungent opening and  bitter descending,辛开苦降
"Ascending, descending,  foating and sinking",升降浮沉
Ascending and foating  medicines,升浮药
Sinking and descending  medicines,沉降药
Meridian afnity,归经
Meridian-guiding  property,引经报使
Meridian guide,引经药
Compatibility,配伍
Seven compatibility  methods,七情和合
Single medicine,单行
Mutual reinforcement,相须
Mutual assistance,相使
Mutual restraint,相畏
Mutual suppression,相杀
Mutual aversion,相恶
Mutual opposition,相反
Contraindicated  combination,配伍禁忌
Eighteen  incompatibilities,十八反
Nineteen  incompatibilities,十九畏
Medicine  contraindications,证候用药禁忌
Contraindicated  medicines during  pregnancy,妊娠用药禁忌
Dietary  contraindication during  medication,服药食忌
Decoction,汤液
Decoction method,煎药法
Heat control in  decoction,煎药火候
Mild fre,文火
Strong fre,武火
Decoct frst,先煎
Decoct separately,另煎
Dissolve in water,冲服
Taken after being  infused in hot water,泡服
Use decoction as water,煎汤代水
Exterior-releasing  medicines,解表药
Pungent warm exterior- releasing medicines,辛温解表药
Pungent cool exterior- releasing medicines,辛凉解表药
Interior heat-clearing  medicines,清热药
Heat-clearing and fre- draining medicines,清热泻火药
Heat-clearing and  dampness-drying  medicines,清热燥湿药
Heat-clearing and  blood-cooling  medicines,清热凉血药
Heat-clearing and toxin- removing medicines,清热解毒药
Defciency heat-clearing  medicines,清虚热药
Purgative medicines,泻下药
Draining purgative  medicines,攻下药
Moistening purgative  medicines,润下药
Drastic water-expelling  medicines,峻下逐水药
Wind-eliminating and  dampness-resolving  medicines,祛风湿药
Dampness-transforming  medicines,化湿药
Urination-promoting  and dampness-draining  medicines,利水渗湿药
Interior-warming  medicines,温里药
Qi-regulating medicines,理气药
Digestion-promoting  medicines,消食药
Parasite-expelling  medicines,驱虫药
Haemostatic medicines,止血药
Blood–cooling  haemostatic medicines,凉血止血药
Blood-circulating  haemostatic medicines,化瘀止血药
Astringent haemostatic  medicines,收敛止血药
Meridian-warming  haemostatic medicines,温经止血药
Blood-circulating and  blood stasis-resolving  medicines,活血祛瘀药
Phlegm-transforming  medicines,化痰药
Cold-removing and  phlegm-transforming  medicines,温化寒痰药
Heat-clearing and  phlegm-transforming  medicines,清化热痰药
Cough-stopping and  panting-alleviating  medicines,止咳平喘药
Tranquillizing  medicines,安神药
Heavy mind- tranquillizing  medicines,重镇安神药
Heart-nourishing  and mind-calming  medicines,养心安神药
Liver-soothing and  wind-extinguishing  medicines,平肝息风药
Liver yang-submerging  medicines,平降肝阳药
Wind-extinguishing and  convulsion-resolving  medicines,息风止痉药
Orifce-opening  medicines,开窍药
Tonic medicines,补虚药
Qi-tonifying medicines,补气药
Blood-tonifying  medicines,补血药
Yang-tonifying  medicines,补阳药
Yin-nourishing  medicines,补阴药
Astringing medicines,收涩药
Exterior-securing  and sweat-stopping  medicines,固表止汗药
Lung and intestine- astringing medicines,敛肺涩肠药
"Semen-securing,  urine-astringing and  leucorrhoea-stopping  medicines",固精缩尿止带药
Emetic medicines,涌吐药
Externally used  medicines,外用药
Formulas of Chinese  Medicine,方剂类
Non-classical formulas,时方
Classical formulas,经方
Empirical formulas,验方
Ancient formulas,古方
Secret formulas,秘方
Decoction formulas/ mnemonics,汤头
Seven formula types,七方
Major formulas,大方
Minor formulas,小方
Slow-acting formulas,缓方
Fast-acting formulas,急方
Odd-numbered  formulas,奇方
Even-numbered  formulas,偶方
Compound formulas,复方
Chinese medicinal  formulas,方剂学
Eight methods,八法
Sweating method,汗法
Vomiting method,吐法
Draining downward  method,下法
Harmonizing method,和法
Warming method,温法
Reducing method,消法
Clearing method,清法
Tonifying method,补法
Ten formula types,十剂
Dispersing formula,宣剂
Unclogging/unblocking  formula,通剂
Tonifying formula,补剂
Purging formula,泄剂
Light formula,轻剂
Heavy formula,重剂
Astringent formula,涩剂
Lubricative formula,滑剂
Drying formula,燥剂
Moistening formula,湿剂
Monarch medicines,君药
Minister medicines,臣药
Assistant medicines,佐药
Facilitating assistant  medicines,佐助药
Counterbalancing  assistant medicines,佐制药
Counteracting assistant  medicines,反佐药
Guide medicines,使药
Coordinating medicines,调和药
Dosage form,剂型
Decoction,汤剂
Pill,丸剂
Honeyed pill,蜜丸
Water pill,水丸
Paste pill,糊丸
Condensed pill,浓缩丸
Waxed pill,蜡丸
Mini pill,微丸
Powder,散剂
Medicated paste,膏剂
Condensed decoction,煎膏
Fluid extract,流浸膏
Solid extract paste,浸膏
Ointment,软膏
Plaster,硬膏
Granules,颗粒剂
Medicated wine/liquor,酒剂
Medicated tea,茶剂
Pastille/troche,锭剂
Medicated roll,条剂
Medicated thread,线剂
Moxa products,灸剂
Suppository/pessary,栓剂
Take before breakfast,平旦服
Take hot,热服
Take warm,温服
Take cold,冷服
Sublingual/buccal  administration,噙化
Take in one single dose,顿服
Take in multiple times,分服
Take frequently in small  doses,频服
Formulas that release  the exterior,解表剂
Formulas that  release the exterior  with pungent warm  medicines,辛温解表剂
Formulas based on  meridian diferentiation,分经论治
Formulas that release  the exterior with  pungent cool medicines,辛凉解表剂
Formulas that reinforce  healthy qi and release  the exterior,扶正解表剂
Formulas that drain  downward,泻下剂
Cold purgative formulas,寒下剂
Formulas that remove  frewood from under  the cauldron,釜底抽薪
Warm purgative  formulas,温下剂
Moistening purgative  formulas,润下剂
Formulas that expel  water,逐水剂
Formulas that purge  and tonify,攻补兼施剂
Formulas that generate  fuids to promote bowel  movements,增水行舟
Formulas that  harmonize and release,和解剂
Formulas that  harmonize and release  Shaoyang,和解少阳剂
Formulas that regulate  and harmonize the liver  and spleen,调和肝脾剂
Formulas that regulate  and harmonize the  stomach and intestines,调和肠胃剂
Formulas that clear  heat,清热剂
Formulas that clear  heat in the qi phase,清气分热剂
"Formulas that clear  heat with sweet, cold  medicines",甘寒清热
Formulas that clear  heat in the Ying  nutrients and blood,清营凉血剂
Formulas that clear  heat in the Ying  nutrients phase,透热转气
Formulas that efuse  stagnant fre/heat,火郁发之
Formulas that purge  the interior heat,以泻代清
Formulas that clear  heat and remove toxins,清热解毒剂
Formulas that clear  exuberant heat  with bitter and cold  medicines,苦寒直折
Formulas that clear  heat in the qi and blood,气血两清剂
Formulas that clear  heat in the zang-fu  organs,清脏腑热剂
Formulas that clear  defciency heat,清虚热剂
Formulas that enter frst  and exit next,先入后出
Formulas that eliminate summer heat,祛暑剂
Formulas that clear  summer heat,祛暑清热剂
Formulas that clear  summer heat and  release the exterior,祛暑解表剂
Formulas that clear  summer heat and  resolve dampness,祛暑利湿剂
Formulas that clear  summer heat and  supplement qi,清暑益气剂
Formulas that warm the  interior,温里剂
Formulas that warm  the middle jiao and  remove cold,温中祛寒剂
Formulas that  resuscitate yang and  prevent collapse,回阳救逆剂
Formulas that warm  meridians and dispel  cold,温经散寒剂
Formulas that release  the exterior and interior,表里双解剂
Formulas that release  the exterior and purge  the interior,解表攻里剂
Formulas that release  the exterior and clear  the interior,解表清里剂
Formulas that release  the exterior and warm  the interior,解表温里剂
Formulas that tonify or  reinforce,补益剂
Formulas that tonify qi,补气剂
"Formulas that reduce  fever with sweet, warm  medicines",甘温除热
Formulas that tonify  blood,补血剂
Formulas that tonify qi  and blood,气血双补剂
Formulas that tonify yin,补阴剂
Formulas that seek yin  within yang,阳中求阴
Formulas that tonify  yang,补阳剂
Formulas that seek  yang within yin,阴中求阳
Formulas that tonify  both yin and yang,阴阳并补
Formulas that calm the  mind,安神剂
Formulas that calm and  settle the mind with  heavy medicines,重镇安神剂
Formulas that calm and  nourish the mind,滋养安神剂
Formulas that open the  orifces,开窍剂
Formulas that open  the orifces with cold- property ingredients,凉开剂
Formulas that open  the orifces with warm- property ingredients,温开剂
Formulas that secure  and astringe,固涩剂
Formulas that secure  the exterior and stop  sweating,固表止汗剂
Formulas that astringe  the lung and stop  coughing,敛肺止咳剂
Formulas that astringe  the intestine and secure  collapse,涩肠固脱剂
Formulas that astringe  the semen and stop  enuresis,涩精止遗剂
Formulas that stop  bleeding/leucorrhoea,固崩止带剂
Formulas that regulate  qi,理气剂
Formulas that circulate  qi,行气剂
Formulas that make qi  descend,降气剂
Formulas that regulate  blood,理血剂
Formulas that circulate  blood and eliminate  stasis,活血祛瘀剂
Formulas that combine  dry/pungent and  sweet/moist medicines,刚柔相济
Formulas that stop  bleeding,止血剂
Formulas that treat  wind,治风剂
Formulas that remove  external wind,疏散外风剂
Formulas that  extinguish internal  wind,平熄内风剂
Formulas that treat  dryness,治燥剂
Formulas that moisten  dryness with light  difusing medicines,轻宣润燥剂
Formulas that nourish  yin and moisten  dryness,滋阴润燥剂
Formulas that eliminate  dampness,祛湿剂
Formulas that dry  dampness and  harmonize the stomach,燥湿和胃剂
Formulas that clear  heat and eliminate  dampness,清热祛湿剂
Formulas that promote  urination and drain  dampness,利水渗湿剂
Formulas that warm  and transform  water-dampness,温化水湿剂
Formulas that remove  wind and transform  dampness,祛风胜湿剂
Formulas that eliminate  phlegm,祛痰剂
Formulas that dry  dampness and  transform phlegm,燥湿化痰剂
Formulas that clear  heat and transform  phlegm,清热化痰剂
Formulas that moisten  dryness and transform  phlegm,润燥化痰剂
Formulas that warm  and transform cold  phlegm,温化寒痰剂
Formulas that treat  wind and transform  phlegm,治风化痰剂
Formulas that promote  digestion and transform  masses,消导化积剂
Formulas that promote  digestion and unblock  stagnation,消食导滞剂
Formulas that disperse  and transform masses,消痞化积剂
Formulas that kill  parasites/worms,驱虫剂
Formulas that induce  emesis,涌吐剂
Formulas that treat  sores/ulcers and  abscesses,治疡剂
Chinese patent  medicine,中成药
3.4 Health cultivation  methods,3.4 养生保健方法
3.5 Acupuncture and  moxibustion (including  cupping and guasha),3.5 针灸类(含拔罐、刮痧）
Meridians and  acupuncture points,经络腧穴类
Meridians and  collaterals,经络
Twelve meridians,十二经脉
The lung meridian of  hand-Taiyin,手太阴肺经
The large intestine  meridian of  hand-Yangming,手阳明大肠经
The stomach meridian  of foot-Yangming,足阳明胃经
The spleen meridian of  foot-Taiyin,足太阴脾经
The heart meridian of  hand-Shaoyin,手少阴心经
The small intestine  meridian of  hand-Taiyang,手太阳小肠经
The bladder meridian  of foot-Taiyang,足太阳膀胱经
The kidney meridian of  foot-Shaoyin,足少阴肾经
The pericardium  meridian of  hand-Jueyin,手厥阴心包经
The Sanjiao meridian of  hand-Shaoyang,手少阳三焦经
The gallbladder  meridian of  foot-Shaoyang,足少阳胆经
The liver meridian of  foot-Jueyin,足厥阴肝经
Three hand-yin  meridians,手三阴经
Three hand-yang  meridians,手三阳经
Three foot-yin  meridians,足三阴经
Three foot-yang  meridians,足三阳经
Eight extraordinary  meridians,奇经八脉
The Du meridian,督脉
The Ren meridian,任脉
The Chong meridian,冲脉
The Dai meridian,带脉
The Yinqiao meridian,阴蹻脉
The Yangqiao meridian,阳蹻脉
The Yinwei meridian,阴维脉
The Yangwei meridian,阳维脉
Collaterals,络脉
The ffteen collaterals,十五络脉
The sixteen collaterals,十六络脉
The great collateral of  the spleen,脾之大络
The great collateral of  the stomach,胃之大络
Blood collaterals,血络
Floating collaterals,浮络
Minute collaterals,孙络
The twelve divergent  meridians,十二经别
The twelve muscle  regions,十二经筋
The twelve cutaneous  regions,十二皮部
Gen-root and jie-knot,根结
Biao-tip and ben-trunk,标本
Qi streets,气街
Four seas,四海
The sea of marrow,髓海
The sea of qi,气海
The sea of water and  food,水谷之海
The sea of blood,血海
The sea of yang  meridians,阳脉之海
The sea of yin  meridians,阴脉之海
The three branches  from one source,一源三歧
Transmission of  sensation along  meridians,循经感传
The meridian  phenomena,经络现象
The lung connections,肺系
The eye connections,目系
The heart connections,心系
The junction between  the red and white skin,赤白肉际
"Bolt, plank and hinge",关阖枢
Acupuncture points,腧穴
Meridian points,经穴
Extra points,经外奇穴
Ashi Points,阿是穴
The specifc points,特定穴
Five-Shu points,五输穴
Jing-well points,井穴
Ying-spring points,荥穴
Shu-stream points,输穴
Jing-river points,经穴
He-sea points,合穴
Yuan-primordial points,原穴
Luo-connecting points,络穴
Xi-cleft points,郄穴
Back-Shu points,背俞穴
Front-Mu points,募穴
Eight infuential points,八会穴
Eight confuent points,八脉交会穴
Lower He-sea points,下合穴
Crossing points,交会穴
Point combination,针灸配穴
Selection of local points,近部取穴
Selection of distal  points,远部取穴
Pattern-oriented point  selection,随证取穴
Point combination of  the afected meridian,本经配穴法
Point combination of  the coupled meridians,表里（经）配穴法
Point combination  of the same-name  meridians,同名经配穴法
Upper and lower point  combination,上下配穴法
Back and front point  combination,前后配穴法
Left and right point  combination,左右配穴法
Yuan and Luo point  combination,原络配穴法
Host–guest  combination using  Yuan-source and Luo- connecting points,主客原络配穴法
Shu and Mu point  combination,俞募配穴法
Methods of locating  acupuncture points,腧穴定位法
Proportional bone  measurement,骨度分寸法
Finger-cun  measurement,手指同身寸
Thumb measurement,拇指同身寸
Middle fnger  measurement,中指同身寸
Four-fnger  measurement,横指同身寸
Acupuncture,针刺类
The tip of a needle,针尖
The handle of a needle,针柄
The body of a needle,针体（针身）
The root of a needle,针根
Stainless steel needles,不锈钢针
Silver needles,银质针
Gold needles,金质针
Needling methods,针刺方法
Filiform needling  methods,毫针刺法
The needling hand,刺手
The pressing hand,押手
Needle insertion with  both hands,双手进针法
Nail-pressing insertion,指切进针法
Needle-holding  insertion with both  hands,夹持进针法
Skin-stretching  insertion,舒张进针法
Skin-pinching insertion,提捏进针法
Needle insertion with  one hand,单手进针法
Guide tube-needle  insertion,管针进针法
Scatter-pricking  method,散刺法
Pricking with a three- edged needle,挑刺法（挑治法）
Point-pricking method,点刺法
Collateral-pricking  method,刺络法
Angle of insertion,针刺角度
Perpendicular needle  insertion,直刺
Oblique needle  insertion,斜刺
Subcutaneous needle  insertion,平刺
Point-toward-point  needle insertion,透刺
Needling manipulation,行针
Lifting-thrusting  method,提插法
Twirling or rotating  method,捻转法
Probing for qi,循法
Handle-plucking  method,弹（柄）法
Handle-scraping  method,刮（柄）法
Handle-shaking  method,摇（柄）法
Flying method,飞法
Vibrating method,震颤法
Arrival of qi,得气
Needling sensation,针感
Waiting for qi,候气
Moving qi,催气
Qi reaches the afected  area,气至病所
Reinforcing and  reducing manipulation,针刺补泻
Reinforcing and reducing by twirling or rotating,捻转补泻
Reinforcing and reducing by lifting and thrusting,提插补泻
Reinforcing and  reducing by slowness  and rapidness,徐疾补泻
Directional reinforcing  and reducing,迎随补泻
Reinforcing and  reducing by breathing,呼吸补泻
Reinforcing and  reducing by opening  and closing,开阖补泻
Balanced reinforcing  and reducing,平补平泻
Setting the Mountain  on Fire,烧山火
Penetrating Heaven  coolness,透天凉
Reinforcing the mother  or reducing the son,子母补泻法
Midnight-noon  ebb-fow,子午流注
Needle retaining,留针（置针）
Needle withdrawal,出针
Acupuncture-related  adverse events,针刺异常情况
Needle shock,晕针
Stuck needle,滞针
Bent needle,弯针
Broken needle,断针
Acupuncture-induced  haematoma,针刺血肿
Acupuncture-induced  pneumothorax,针刺性气胸
Micro-system therapy,微针疗法
Scalp acupuncture,头针疗法
Ear acupuncture,耳针疗法
Ear points,耳穴
Facial acupuncture,面针疗法
Eye acupuncture,眼针疗法
Nose acupuncture,鼻针疗法
Tongue acupuncture,舌针疗法
Back acupuncture,脊背针疗法
Hand acupuncture,手针疗法
Foot acupuncture,足针疗法
Wrist-ankle  acupuncture,腕踝针疗法
Abdominal  acupuncture,腹针疗法
The second metacarpal  bone acupuncture,第二掌骨侧针法
The three-edged needle,三棱针
The dermal needle,皮肤针
The plum-blossom  needle,梅花针
The seven-star needle,七星针
The intradermal needle,皮内针
Thumbtack needle,揿针
Needle-embedding  therapy,埋针疗法
Electroacupuncture,电针
Point injection,穴位注射
Fire needling,火针
Elongated needle,芒针
Laser therapy,激光针
Bee-sting therapy,蜂针疗法
Sham acupuncture,伪针；假针
Incision therapy,割治
Catgut-embedding  therapy,穴位埋线
Bian-stone needling,砭石
Nine ancient needles,九针
Shear needle,镵针
Rounded needle,圆针
Spoon-like needle,鍉针
Sharp-edged needle,锋针
Round-sharp needle,员利针
Sword-like needle,铍针
Long needle,长针
Large needle,大针
Filiform needle,毫针
The fve needling  techniques,五刺
Half needling,半刺
Leopard-spot needling,豹文刺
Joint needling,关刺
Hegu needling,合谷刺
Shu needling,输刺（五刺）
The nine needling  techniques,九刺
Shu needling,输刺（九刺）
Distal needling,远道刺
Meridian needling,经刺
Collateral needling,络刺
Intramuscular needling,分刺
Great drainage needling,大泻刺
Skin needling,毛刺
Contralateral needling,巨刺
Contralateral  blood-letting,缪刺
Cauterized needling,焠刺
The twelve needling  techniques,十二刺
Coupled needling,偶刺
Successive trigger  needling,报刺
Relaxing needling,恢刺
Triple needling,齐刺
Quintuple needling,扬刺
Straight needling,直针刺
Shu needling,输刺（十二刺）
Short needling,短刺
Superfcial needling,浮刺
Yin needling,阴刺
Accompanied needling,傍针刺
Repeated shallow  needling,赞刺
Moxibustion therapy,灸法类
Moxibustion,灸法
Moxa wool,艾绒
Moxa cone,艾炷
Zhuang,壮
Moxa stick,艾条
Medicinal moxa stick,药艾条
Moxa cone moxibustion,艾炷灸
Direct moxibustion,直接灸
Scarring moxibustion,瘢痕灸
Suppurative  moxibustion,化脓灸
Non-scarring  moxibustion,无瘢痕灸
Wheat-grain sized cone  moxibustion,麦粒灸
Indirect moxibustion,间接灸
Ginger-insulated  moxibustion,隔姜灸
Garlic-insulated  moxibustion,隔蒜灸
Salt-insulated  moxibustion,隔盐灸
Monkshood cake- insulated moxibustion,隔附子饼灸
Moxa stick moxibustion,艾条灸
Suspended  moxibustion,悬灸
Gentle moxibustion,温和灸
Sparrow-pecking  moxibustion,雀啄灸
Circling moxibustion,回旋灸
Mild-warm moxibustion,实按灸
Taiyi moxa stick,太乙神针
Thunder-fre moxa stick,雷火神针
Warming needle,温针灸
Moxibustion with a  moxa burner,温灸器灸
Juncus moxibustion,灯火灸
Blistering moxibustion,天灸
Acupoint application,穴位敷贴
Cupping therapy,拔罐类
Cupping,拔罐法
Fire cupping,火罐法
Fire twinkling,闪火法
Fire throwing,投火法
Cotton sticking,贴棉法
Boiling cup method,水罐法
Cup retention,留罐法
Sliding cupping,走罐法
Flash cupping,闪罐法
Blood-letting and  cupping,刺络拔罐
Needle-retention  cupping,留针拔罐
Medicated cupping,药罐
Guasha therapy,刮痧疗法
Guasha tool,刮痧板
3.6 Tuina,3.6 推拿类
Tuina,推拿
Tuina manipulation,推拿手法
Rolling manipulation,?法
Rolling manipulation  with the proximal  interphalangeal joints,滚法
Yi Zhi Chan pushing,一指禅推法
Yi Zhi Chan pushing  with the radial side of  the thumb,一指禅偏锋推法
Fast Yi Zhi Chan  pushing manipulation,缠法
Yi Zhi Chan pushing  with the fexed thumb,跪推法
Thenar-kneading  manipulation,鱼际揉法
Kneading manipulation,揉法
Circular rubbing  manipulation,摩法
Pushing manipulation,推法
Plane pushing  manipulation,刨推法
Scraping manipulation,刮法
Linear rubbing  manipulation,擦法
Wiping manipulation,抹法
Pressing manipulation,按法
Point-pressing  manipulation,点法
Forceful pressing  manipulation,压法
Symmetrical pressing  manipulation,抵法
Rotating pressing  manipulation,碟转法
Fist-pressing  manipulation,拳顶法
Stroking manipulation,扪法
Thumb pressing  manipulation,押法
Pinching manipulation,捏法
Slow-shifting  manipulation,挪法
Twisting manipulation,拧法
Hooking manipulation,勾法
Grasping manipulation,拿法
Gripping manipulation,抓法
Clutching manipulation,握法
Palm-twisting  manipulation,搓法
Regulating  manipulation,理法
Finger-twisting  manipulation,捻法
Plucking manipulation,拨法
Patting manipulation,拍法
Knocking manipulation,击法
Pecking manipulation,啄法
Tapping manipulation,叩法
Chopping manipulation,劈法
Percussing  manipulation,贯法
Flipping manipulation,弹法
Shaking manipulation,抖法
Vibrating manipulation,振法
Rotating manipulation,摇法
Pulling-stretching  manipulation,拔伸法
Tightening  manipulation,勒法
Flexion and extension,屈伸法
Pulling manipulation,扳法
Back-carrying  manipulation,背法
Combing manipulation,梳法
Brushing manipulation,拂法
Smoothing  manipulation,捋法
Covering manipulation,掩法
Rotating manipulation,捩法
Holding manipulation,端法
Touching manipulation,摸法
Lifting manipulation,提法
Gathering manipulation,拢法
Squeezing  manipulation,挤法
Drawing manipulation,挽法
Compound Tuina  manipulations,推拿复合手法类
Pressing-kneading  manipulation,按揉法
Grasping-kneading  manipulation,拿揉法
Pushing-rubbing  manipulation,推摩法
Pulling-shaking  manipulation,牵抖法
Kneading-pinching  manipulation,揉捏法
Lifting-ficking  manipulation,提弹法
Tendon-ficking  manipulation,弹筋法
Pushing-kneading  manipulation,推揉法
Plucking-pulling  manipulation,推扳法
Hooking-pointing  manipulation,勾点法
Sweeping manipulation,扫散法
Stepping manipulation,踩跷法
Spine-pinching  manipulation,捏脊法
Spine-pointing  manipulation,点脊法
Inserting manipulation,插法
Supporting  manipulation,托法
Swinging manipulation,抄法
Low back-closing  manipulation,封腰法
Low back-vibrating  manipulation,颤腰法
Spinal tuina  manipulation,脊柱推拿手法类
Tuina medium,推拿介质
Assistant tuina tools,推拿辅助器具类
Mulberry branch stick,桑枝棒
Tai Ping Che,太平车
Paediatric tuina,小儿推拿
Shaolin Neigong,少林内功
Yi Jin Jing,易筋经
Other tuina  terminologies,其他推拿术语
Hot compress,热敷
Tuina combined with  herbal ointment,膏摩
Tuina analgesia,推拿镇痛
Healthcare Tuina,健身推拿
Cosmetic tuina,美容推拿
3.7 Daoyin/qigong,3.7 导引气功
Daoyin,导引
Qigong,气功
Large heavenly circle,大周天
Three passes,三关
